symbol,prevprice,currprice,diffP
DOV,96.31,93.65,-2.76
ATO,104.86,101.97,-2.76
RYB,2.9,2.82,-2.76
IPGP,133.0,129.33,-2.76
CNBKA,76.81,74.69,-2.76
IPKW,26.455,25.725,-2.76
GHC,401.07,390.01,-2.76
ASM,0.4163,0.4048,-2.76
PPDM,18.4088,17.9004,-2.76
XCUR,2.17,2.11,-2.76
AFN.TO,27.19,26.44,-2.76
VCN.TO,30.75,29.9,-2.76
SHTCX,30.48,29.64,-2.76
SABTX,14.13,13.74,-2.76
CLFFX,12.7,12.35,-2.76
CVX,94.62,92.0,-2.77
IAG,3.61,3.51,-2.77
OEC,9.37,9.11,-2.77
RBC,73.03,71.01,-2.77
BTEC,39.217,38.13,-2.77
SIVIX,14.06,13.67,-2.77
SSQSX,14.06,13.67,-2.77
MMM,156.26,151.92,-2.78
HR,30.23,29.39,-2.78
CVEO,0.648,0.63,-2.78
CLDX,2.52,2.45,-2.78
POOL,217.71,211.66,-2.78
CDR,1.08,1.05,-2.78
AMPH,17.435,16.95,-2.78
IWS,74.72,72.64,-2.78
PFMT,0.72,0.7,-2.78
EQRR,28.8016,28.0004,-2.78
EVX,86.82,84.4061,-2.78
GVP,1.08,1.05,-2.78
IVLU,19.04,18.51,-2.78
AURE.PA,4.32,4.2,-2.78
MITRA.BR,23.4,22.75,-2.78
ICE.TO,3.6,3.5,-2.78
FSY.TO,0.18,0.175,-2.78
FSPCX,47.05,45.74,-2.78
SPGP,52.86,51.39,-2.78
DHMAX,16.93,16.46,-2.78
SMDY,24.9465,24.2536,-2.78
TXN,119.4,116.07,-2.79
STZ,169.42,164.69,-2.79
ACHC,24.7,24.01,-2.79
EXP,62.76,61.01,-2.79
SND,0.8538,0.83,-2.79
DCI,45.09,43.83,-2.79
EBIX,21.53,20.93,-2.79
MNRO,57.08,55.49,-2.79
IYZ,27.98,27.2,-2.79
CRK,7.88,7.66,-2.79
REGL,50.91,49.49,-2.79
DFJ,62.72,60.97,-2.79
PLOW,38.02,36.96,-2.79
USEQ,24.5024,23.82,-2.79
VFMF,65.3542,63.53,-2.79
FIE.TO,5.74,5.58,-2.79
FACSX,31.59,30.71,-2.79
AASCX,20.43,19.86,-2.79
JD,44.34,43.1,-2.8
EWJ,53.2505,51.76,-2.8
UPRO,38.99,37.9,-2.8
HIW,39.93,38.81,-2.8
HBB,13.57,13.19,-2.8
FLQH,23.96,23.29,-2.8
ONEO,65.155,63.33,-2.8
ZEM.TO,18.54,18.02,-2.8
OSCV,21.09,20.5,-2.8
GLIBA,62.59,60.83,-2.81
ATRA,8.53,8.29,-2.81
JOBS,61.67,59.94,-2.81
DCAR,0.565,0.5491,-2.81
FC,21.35,20.75,-2.81
JDIV,22.07,21.45,-2.81
NANR,29.17,28.35,-2.81
PPEM,17.0969,16.6167,-2.81
MDLA,22.1,21.48,-2.81
TPTX,53.0,51.51,-2.81
ATE.PA,67.6,65.7,-2.81
XIC.TO,24.24,23.56,-2.81
MEG.TO,3.2,3.11,-2.81
CSX,68.15,66.23,-2.82
PQG,12.06,11.72,-2.82
RPAI,6.38,6.2,-2.82
DXGE,26.1,25.365,-2.82
GBT,78.74,76.52,-2.82
JETS,15.63,15.19,-2.82
ACQ.TO,6.74,6.55,-2.82
WAAEX,36.18,35.16,-2.82
TCMSX,31.92,31.02,-2.82
TMSIX,23.44,22.78,-2.82
GBDV,14.6668,14.2532,-2.82
HUIZ,7.81,7.59,-2.82
NTCT,27.25,26.48,-2.83
ECHO,18.04,17.53,-2.83
AHH,9.89,9.61,-2.83
VLUE,72.02,69.98,-2.83
BCOR,14.48,14.07,-2.83
IPAR,45.99,44.69,-2.83
TPIC,18.04,17.53,-2.83
BIP,40.33,39.19,-2.83
STN,30.39,29.53,-2.83
FJP,43.745,42.505,-2.83
JPME,58.57,56.91,-2.83
ARVN,54.03,52.5,-2.83
VLYPO,22.24,21.61,-2.83
REC.BR,7.06,6.86,-2.83
RIB.PA,1.415,1.375,-2.83
PEXMX,25.1,24.39,-2.83
FVDKX,25.78,25.05,-2.83
WEN,20.44,19.86,-2.84
BMRN,94.71,92.02,-2.84
LPSN,24.64,23.94,-2.84
CORE,29.58,28.74,-2.84
DEUS,30.67,29.8,-2.84
FPF,21.09,20.49,-2.84
VXM.TO,19.01,18.47,-2.84
WSCGX,47.94,46.58,-2.84
NVSCX,46.43,45.11,-2.84
AMDVX,14.1,13.7,-2.84
ACMVX,14.09,13.69,-2.84
RMBFX,6.33,6.15,-2.84
AVUAX,14.1,13.7,-2.84
NTCO,13.39,13.01,-2.84
VVY.AS,4.22,4.1,-2.84
ABG,69.48,67.5,-2.85
CATO,11.59,11.26,-2.85
FAB,44.35,43.086,-2.85
FLJP,23.52,22.85,-2.85
ABX.TO,36.88,35.83,-2.85
XFF.TO,21.43,20.82,-2.85
PRDSX,35.43,34.42,-2.85
DNKN,64.69,62.84,-2.86
GLDD,9.1,8.84,-2.86
SJR,16.81,16.33,-2.86
FXR,35.35,34.34,-2.86
PXJ,2.45,2.38,-2.86
SPYD,28.66,27.84,-2.86
FCA,23.9768,23.2909,-2.86
VIRC,2.45,2.38,-2.86
YVR,2.275,2.21,-2.86
TIE.AS,7.0,6.8,-2.86
ASR.TO,7.35,7.14,-2.86
ZWU.TO,12.25,11.9,-2.86
CAS.TO,14.34,13.93,-2.86
FRU.TO,3.84,3.73,-2.86
XUT.TO,26.54,25.78,-2.86
TRQ.TO,0.7,0.68,-2.86
PASSX,45.13,43.84,-2.86
TRSSX,22.34,21.7,-2.86
AMVRX,14.01,13.61,-2.86
PSTVZ,0.007,0.0068,-2.86
EGO,9.75,9.47,-2.87
PSB,132.9,129.09,-2.87
CTO,43.27,42.03,-2.87
WABC,64.86,63.0,-2.87
RFV,48.0782,46.7,-2.87
SMMV,28.96,28.13,-2.87
VFVA,57.961,56.3,-2.87
FP.PA,33.82,32.85,-2.87
ZEO.TO,28.53,27.71,-2.87
SCIOX,72.77,70.68,-2.87
SCIRX,70.77,68.74,-2.87
CCIZX,84.04,81.63,-2.87
OTCFX,45.63,44.32,-2.87
OTIIX,45.65,44.34,-2.87
TQAIX,35.56,34.54,-2.87
TQAAX,35.2,34.19,-2.87
TFII,28.57,27.75,-2.87
AVUV,38.63,37.52,-2.87
EWU,26.0,25.25,-2.88
THRM,38.55,37.44,-2.88
LBRT,4.86,4.72,-2.88
TRMK,27.4,26.61,-2.88
NAK,0.5935,0.5764,-2.88
TGH,9.04,8.78,-2.88
IDT,5.56,5.4,-2.88
LX,8.68,8.43,-2.88
XONE,8.0,7.77,-2.88
DZSI,6.6,6.41,-2.88
ETHO,38.6,37.49,-2.88
TH,2.08,2.02,-2.88
CA.PA,13.895,13.495,-2.88
CRLA.PA,68.99,67.0,-2.88
SCMIX,84.51,82.08,-2.88
SLMCX,75.45,73.28,-2.88
VWNDX,17.7,17.19,-2.88
ACCLX,13.88,13.48,-2.88
RESI,11.75,11.41,-2.89
VFH,57.47,55.81,-2.89
VXF,107.91,104.79,-2.89
ASLN,1.73,1.68,-2.89
CNP.PA,9.705,9.425,-2.89
SIGHT.PA,3.285,3.19,-2.89
SW.PA,74.66,72.5,-2.89
NWH-UN.TO,10.05,9.76,-2.89
ESPO,42.9,41.66,-2.89
BBCA,21.78,21.15,-2.89
TRU,81.14,78.79,-2.9
JCOM,83.05,80.64,-2.9
MFG,2.41,2.34,-2.9
IYT,154.4,149.92,-2.9
MJ,12.42,12.06,-2.9
PIY,6.5809,6.39,-2.9
BFIT,18.25,17.7204,-2.9
IYG,118.78,115.34,-2.9
PATH.TO,4.14,4.02,-2.9
RSMRX,13.44,13.05,-2.9
MPC,33.04,32.08,-2.91
HON,146.16,141.9,-2.91
YUMC,49.91,48.46,-2.91
TERP,17.84,17.32,-2.91
LKFN,43.6,42.33,-2.91
FNCL,33.3,32.33,-2.91
COKE,242.53,235.47,-2.91
XHS,65.9,63.98,-2.91
FMAT,29.17,28.32,-2.91
PMD,6.18,6.0,-2.91
ARGO,36.42,35.36,-2.91
ASRT,0.9012,0.875,-2.91
PDD,48.86,47.44,-2.91
RMBI,11.0,10.68,-2.91
ALQWA.PA,5.15,5.0,-2.91
XMC.TO,18.21,17.68,-2.91
L.TO,70.55,68.5,-2.91
WSMGX,26.46,25.69,-2.91
SIPIX,21.31,20.69,-2.91
BBJP,22.03,21.39,-2.91
COHR,131.71,127.87,-2.92
ORI,16.43,15.95,-2.92
ETR,98.38,95.51,-2.92
IGE,21.755,21.12,-2.92
CSD,35.3323,34.3,-2.92
AMCR,9.24,8.97,-2.92
EWJV,22.1113,21.4649,-2.92
ZDH.TO,17.82,17.3,-2.92
ZDM.TO,19.2,18.64,-2.92
PVIVX,27.06,26.27,-2.92
CUZ,31.08,30.17,-2.93
WAT,192.65,187.0,-2.93
AT,2.05,1.99,-2.93
AJRD,42.38,41.14,-2.93
WD,39.59,38.43,-2.93
GUNR,26.62,25.84,-2.93
ECOL,33.77,32.78,-2.93
CUT,23.92,23.22,-2.93
ADIL,1.535,1.49,-2.93
VSEQX,27.0,26.21,-2.93
ABNX.PA,0.991,0.962,-2.93
ZNTL,36.16,35.1,-2.93
INTC,61.8,59.98,-2.94
APTV,71.66,69.55,-2.94
VB,136.24,132.24,-2.94
ZAGG,3.4,3.3,-2.94
SLGL,8.5,8.25,-2.94
SGRP,0.83,0.8056,-2.94
ZUO,10.89,10.57,-2.94
ALTUV.PA,6.8,6.6,-2.94
FN.TO,32.96,31.99,-2.94
DTSGX,24.12,23.41,-2.94
JNMF,23.6731,22.9768,-2.94
BAC,24.78,24.05,-2.95
SPG,68.8,66.77,-2.95
VNDA,11.85,11.5,-2.95
MTW,9.5,9.22,-2.95
SR,75.18,72.96,-2.95
CPSI,24.76,24.03,-2.95
CAPL,13.24,12.85,-2.95
IXG,51.57,50.05,-2.95
ALX,324.85,315.26,-2.95
EWJE,31.5516,30.6213,-2.95
FNV.TO,189.76,184.16,-2.95
SNC.TO,26.45,25.67,-2.95
NEAIX,22.36,21.7,-2.95
SFDYX,21.34,20.71,-2.95
SEMCX,21.34,20.71,-2.95
RMBIX,6.43,6.24,-2.95
TPHD,21.67,21.03,-2.95
STLV,20.06,19.4685,-2.95
BAX,91.49,88.78,-2.96
ASH,63.57,61.69,-2.96
WEC,93.31,90.55,-2.96
XXII,0.9689,0.9402,-2.96
BNFT,11.16,10.83,-2.96
PTI,1.69,1.64,-2.96
SPKE,7.44,7.22,-2.96
UEIC,42.54,41.28,-2.96
BBC,36.612,35.53,-2.96
AW-UN.TO,27.35,26.54,-2.96
LSSNX,24.02,23.31,-2.96
FMPCX,15.56,15.1,-2.96
TFIFX,21.65,21.01,-2.96
PRISX,21.65,21.01,-2.96
DXCM,345.47,335.2,-2.97
XLB,53.47,51.88,-2.97
SKT,7.75,7.52,-2.97
STE,146.86,142.5,-2.97
WLKP,18.53,17.98,-2.97
SLF,35.4,34.35,-2.97
ALOT,7.245,7.03,-2.97
LAT.PA,1.82,1.766,-2.97
XIU.TO,23.26,22.57,-2.97
SLF.TO,49.17,47.71,-2.97
NEAGX,21.86,21.21,-2.97
FIMPX,26.58,25.79,-2.97
TEVA,11.07,10.74,-2.98
GPRE,6.05,5.87,-2.98
AKR,12.77,12.39,-2.98
OTIC,2.35,2.28,-2.98
EPHE,24.87,24.13,-2.98
PZD,44.0622,42.75,-2.98
GOSS,13.42,13.02,-2.98
QUAYX,58.09,56.36,-2.98
RDOG,36.4001,35.315,-2.98
OLVAX,12.42,12.05,-2.98
MEOH,16.37,15.88,-2.99
MDRX,6.7,6.5,-2.99
ITW,167.51,162.5,-2.99
FDS,283.47,275.0,-2.99
DFFN,0.5185,0.503,-2.99
USM,32.81,31.83,-2.99
ZLAB,64.65,62.72,-2.99
UHT,110.26,106.96,-2.99
FXU,27.12,26.31,-2.99
MLERO.PA,0.67,0.65,-2.99
FHB.TO,4.69,4.55,-2.99
FMPFX,26.8,26.0,-2.99
FCTGX,22.39,21.72,-2.99
FIDGX,24.72,23.98,-2.99
FAMWX,70.55,68.44,-2.99
FAMVX,70.25,68.15,-2.99
ZCAN,52.3954,50.8311,-2.99
LMIYX,14.37,13.94,-2.99
MSGE,85.25,82.7,-2.99
IDRA,2.0,1.94,-3.0
GNTX,24.99,24.24,-3.0
GSV,0.67,0.6499,-3.0
PNNT,3.33,3.23,-3.0
ICCC,4.67,4.53,-3.0
UGE,41.03,39.7974,-3.0
CHNG,12.0,11.64,-3.0
PSM,21.2122,20.5758,-3.0
FTS.TO,55.61,53.94,-3.0
MR-UN.TO,4.67,4.53,-3.0
FCIGX,24.63,23.89,-3.0
FCAGX,23.33,22.63,-3.0
SMOG,72.92,70.73,-3.0
NTR.TO,51.25,49.71,-3.0
MO,40.47,39.25,-3.01
PPL,26.21,25.42,-3.01
BOKF,53.4,51.79,-3.01
ZIXI,5.65,5.48,-3.01
CALA,6.32,6.13,-3.01
WPP,39.91,38.71,-3.01
ZYNE,3.99,3.87,-3.01
MDYV,41.57,40.32,-3.01
ZNH,25.95,25.17,-3.01
ZDI.TO,17.26,16.74,-3.01
CIF.TO,23.6,22.89,-3.01
PDC.TO,23.56,22.85,-3.01
QSP-UN.TO,71.0,68.86,-3.01
FCCGX,20.24,19.63,-3.01
GWETX,22.28,21.61,-3.01
MGPIX,85.84,83.26,-3.01
JLVZX,12.31,11.94,-3.01
ESML,23.62,22.91,-3.01
RSX,19.55,18.96,-3.02
CTB,21.85,21.19,-3.02
ALV,61.89,60.02,-3.02
TRMB,35.71,34.63,-3.02
ICFI,75.83,73.54,-3.02
SCJ,64.58,62.63,-3.02
NVR,3196.53,3100.0,-3.02
ACNB,28.83,27.96,-3.02
PSCH,119.84,116.22,-3.02
USVM,43.1538,41.85,-3.02
SCR.PA,26.5,25.7,-3.02
COW.TO,36.04,34.95,-3.02
DSCYX,22.55,21.87,-3.02
DOPIX,22.51,21.83,-3.02
MYIMX,14.9,14.45,-3.02
WTMCX,20.56,19.94,-3.02
AFMC,16.4536,15.9573,-3.02
NETL,20.9011,20.27,-3.02
JLVMX,12.24,11.87,-3.02
BSA,20.52,19.9,-3.02
GSAT,0.33,0.32,-3.03
ALNY,135.81,131.7,-3.03
DGX,113.55,110.11,-3.03
KFY,29.73,28.83,-3.03
CDL,40.0544,38.8421,-3.03
HUZ.TO,7.91,7.67,-3.03
H.TO,26.03,25.24,-3.03
LVAEX,21.47,20.82,-3.03
RYZZ,22.2415,21.567,-3.03
HLQVX,12.2,11.83,-3.03
HCA,113.33,109.88,-3.04
PEG,52.3,50.71,-3.04
SBNY,110.54,107.18,-3.04
MAN,76.57,74.24,-3.04
HEES,16.77,16.26,-3.04
RGNX,41.07,39.82,-3.04
FLY,6.26,6.07,-3.04
DWMC,18.9286,18.3536,-3.04
MYT,0.49,0.4751,-3.04
ALS.TO,8.87,8.6,-3.04
ATZ.TO,17.09,16.57,-3.04
DSCVX,22.37,21.69,-3.04
GWEIX,22.72,22.03,-3.04
RWVG,43.4786,42.1563,-3.04
HXT.TO,34.57,33.52,-3.04
T,31.43,30.47,-3.05
ED,81.28,78.8,-3.05
OGE,32.51,31.52,-3.05
KN,16.04,15.55,-3.05
BLDP,10.48,10.16,-3.05
FCF,9.82,9.52,-3.05
AMED,189.95,184.16,-3.05
RTIX,2.79,2.705,-3.05
PUK,29.15,28.26,-3.05
AGT,16.01,15.5218,-3.05
FYX,50.8508,49.3,-3.05
IVOG,130.2,126.23,-3.05
SOIL,7.045,6.83,-3.05
WTT,0.9799,0.95,-3.05
PBR-A,6.88,6.67,-3.05
ONEX.TO,66.18,64.16,-3.05
PESPX,26.91,26.09,-3.05
FMCLX,16.38,15.88,-3.05
FMDCX,16.37,15.87,-3.05
DPSYX,21.94,21.27,-3.05
KMI,15.71,15.23,-3.06
ETFC,41.89,40.61,-3.06
CBT,34.96,33.89,-3.06
CAR,17.0,16.48,-3.06
OI,8.5,8.24,-3.06
LTM,3.92,3.8,-3.06
CMPR,75.09,72.79,-3.06
IJK,209.92,203.49,-3.06
AC,39.48,38.27,-3.06
CSTR,11.77,11.41,-3.06
CARZ,28.76,27.88,-3.06
GFED,16.0,15.51,-3.06
BLX.TO,27.8,26.95,-3.06
CJR-B.TO,3.27,3.17,-3.06
CEW.TO,10.46,10.14,-3.06
POU.TO,1.96,1.9,-3.06
WBSIX,27.42,26.58,-3.06
GMXRX,12.43,12.05,-3.06
NOMIX,16.01,15.52,-3.06
CAT,120.06,116.38,-3.07
MA,283.69,274.97,-3.07
CBSH,63.13,61.19,-3.07
STWD,13.35,12.94,-3.07
FMX,66.37,64.33,-3.07
AGX,38.73,37.54,-3.07
VOXX,4.89,4.74,-3.07
DVP,21.47,20.81,-3.07
JCS,5.87,5.69,-3.07
OGI,1.63,1.58,-3.07
ALUVI.PA,16.3,15.8,-3.07
APR-UN.TO,8.14,7.89,-3.07
KMP-UN.TO,17.26,16.73,-3.07
RY.TO,88.34,85.63,-3.07
NUE,42.5,41.19,-3.08
AVXL,3.57,3.46,-3.08
GDEN,9.74,9.44,-3.08
SXC,3.25,3.15,-3.08
JHMM,33.4,32.37,-3.08
MCX,22.7,22.0,-3.08
RGCO,25.66,24.87,-3.08
AESE,1.95,1.89,-3.08
MAX.TO,0.65,0.63,-3.08
WBSNX,24.37,23.62,-3.08
GMXAX,12.66,12.27,-3.08
IRM,24.95,24.18,-3.09
LNC,36.6,35.47,-3.09
RDVY,30.06,29.13,-3.09
MDYG,50.41,48.85,-3.09
BGR,7.45,7.22,-3.09
PBS,28.8,27.91,-3.09
PICK,21.98,21.3,-3.09
CIX,14.22,13.78,-3.09
SRU-UN.TO,22.0,21.32,-3.09
HFCSX,65.44,63.42,-3.09
HFCIX,67.64,65.55,-3.09
NWXQX,12.93,12.53,-3.09
DPSCX,18.15,17.59,-3.09
DMIDX,26.82,25.99,-3.09
JBL,29.35,28.44,-3.1
AN,38.43,37.24,-3.1
CASH,19.01,18.42,-3.1
TCO,44.48,43.1,-3.1
TRTN,31.97,30.98,-3.1
OLD,22.192,21.505,-3.1
SES.TO,1.29,1.25,-3.1
HOOTX,21.63,20.96,-3.1
HSSCX,20.0,19.38,-3.1
BKSE,59.2127,57.3764,-3.1
AVA,44.42,43.04,-3.11
GSUM,0.6502,0.63,-3.11
EO.PA,34.12,33.06,-3.11
CU.TO,35.05,33.96,-3.11
MG.TO,55.98,54.24,-3.11
PLC.TO,22.52,21.82,-3.11
HSSIX,24.43,23.67,-3.11
ENPSX,11.57,11.21,-3.11
NICE,169.6,164.3,-3.12
FTS,40.0,38.75,-3.12
MDY,309.48,299.81,-3.12
GECC,3.53,3.42,-3.12
PCTI,7.05,6.83,-3.12
DCHF,27.3426,26.49,-3.12
IVOO,114.85,111.27,-3.12
IVOV,99.72,96.61,-3.12
PHO,35.59,34.48,-3.12
QMOM,31.75,30.76,-3.12
RCG,1.22,1.1819,-3.12
IUSS,20.018,19.3938,-3.12
UFF.PA,16.0,15.5,-3.12
WEF.TO,0.96,0.93,-3.12
FELCX,22.12,21.43,-3.12
FMCRX,16.36,15.85,-3.12
ENPIX,13.46,13.04,-3.12
PGR,79.8,77.3,-3.13
IJH,169.48,164.18,-3.13
LFC,10.87,10.53,-3.13
SCHL,30.01,29.07,-3.13
GOLD,26.55,25.72,-3.13
PKE,13.74,13.31,-3.13
UMH,13.41,12.99,-3.13
DDF,9.27,8.98,-3.13
FLCA,22.37,21.67,-3.13
FTA,44.7176,43.3182,-3.13
NLTX,11.5,11.14,-3.13
MMP-UN.TO,1.6,1.55,-3.13
TARKX,16.59,16.07,-3.13
SCURX,21.7,21.02,-3.13
FMFAX,60.0,58.12,-3.13
HSSAX,23.63,22.89,-3.13
FFBFX,22.36,21.66,-3.13
KMED,23.4,22.668,-3.13
NWL,14.33,13.88,-3.14
MELI,602.42,583.51,-3.14
MRTX,87.8,85.04,-3.14
JBSS,84.79,82.13,-3.14
FEMS,28.55,27.653,-3.14
IJJ,129.66,125.59,-3.14
RYF,36.61,35.46,-3.14
SPLP,5.42,5.25,-3.14
PSC,26.2708,25.4469,-3.14
ISEM,21.68,21.0,-3.14
KEY.TO,21.32,20.65,-3.14
FELAX,26.13,25.31,-3.14
SCUIX,21.65,20.97,-3.14
FSDPX,60.27,58.38,-3.14
FMFEX,60.16,58.27,-3.14
MKD,1.91,1.85,-3.14
CBLLX,11.46,11.1,-3.14
VMC,116.65,112.97,-3.15
TDC,25.39,24.59,-3.15
WPC,67.92,65.78,-3.15
VOE,94.54,91.56,-3.15
FYC,38.75,37.53,-3.15
MTEX,11.1,10.75,-3.15
PVAL,22.4741,21.7659,-3.15
PY,26.9105,26.0636,-3.15
UPV,32.57,31.5428,-3.15
MBINP,24.8,24.019,-3.15
ALCLS.PA,12.7,12.3,-3.15
DEDAL.PA,0.476,0.461,-3.15
SQI.PA,17.45,16.9,-3.15
TVK.TO,15.85,15.35,-3.15
HOOSX,21.59,20.91,-3.15
FMFTX,59.42,57.55,-3.15
FMFCX,57.83,56.01,-3.15
POTX,9.8817,9.57,-3.15
GDYN,8.25,7.99,-3.15
NI,25.93,25.11,-3.16
DVA,81.59,79.01,-3.16
HBM,2.53,2.45,-3.16
FRPT,77.87,75.41,-3.16
HRTG,11.71,11.34,-3.16
MAIN,26.93,26.08,-3.16
MBIO,2.85,2.76,-3.16
JEMD,6.32,6.12,-3.16
JHMA,29.1261,28.2058,-3.16
CCC,23.73,22.98,-3.16
EVER,40.24,38.97,-3.16
BIR.TO,1.58,1.53,-3.16
INE.TO,19.29,18.68,-3.16
SCUVX,20.57,19.92,-3.16
ABSKX,14.56,14.1,-3.16
FTHSX,23.08,22.35,-3.16
WFC,30.0,29.05,-3.17
OLED,155.04,150.12,-3.17
SBRA,13.24,12.82,-3.17
MMI,30.0,29.05,-3.17
YIN,6.0,5.81,-3.17
ESGR,149.36,144.62,-3.17
XAR,84.0,81.34,-3.17
VAW,114.6,110.97,-3.17
CGO.TO,88.62,85.81,-3.17
FELIX,27.77,26.89,-3.17
PRVIX,38.2,36.99,-3.17
PRSVX,38.21,37.0,-3.17
MYL,17.32,16.77,-3.18
SIG,10.39,10.06,-3.18
AIZ,109.73,106.24,-3.18
DX,14.78,14.31,-3.18
PRFZ,106.56,103.17,-3.18
XMLV,43.73,42.34,-3.18
DFNL,18.84,18.24,-3.18
UFI,10.69,10.35,-3.18
ROOF,17.91,17.34,-3.18
CTVA,27.05,26.19,-3.18
PLMR,60.42,58.5,-3.18
APAM.AS,24.52,23.74,-3.18
IMG.TO,5.03,4.87,-3.18
ABASX,14.8,14.33,-3.18
PASVX,38.08,36.87,-3.18
CBECX,11.33,10.97,-3.18
DDS,30.45,29.48,-3.19
FNHC,12.52,12.12,-3.19
DWAS,47.69,46.17,-3.19
DXF,0.506127,0.49,-3.19
NUSC,25.69,24.87,-3.19
XTL,69.04,66.84,-3.19
HWC,21.6,20.91,-3.19
FSAIX,44.22,42.81,-3.19
FELTX,24.8,24.01,-3.19
VEVIX,32.89,31.84,-3.19
VGENX,32.3,31.27,-3.19
VGELX,60.58,58.65,-3.19
HAIL,25.8541,25.0281,-3.19
OKE,30.92,29.93,-3.2
NRG,34.64,33.53,-3.2
ES,83.37,80.7,-3.2
AEM,60.62,58.68,-3.2
HSBC,26.58,25.73,-3.2
AAP,124.91,120.91,-3.2
ZG,44.98,43.54,-3.2
MMSI,42.17,40.82,-3.2
ERUS,32.21,31.18,-3.2
SMIN,26.7,25.845,-3.2
SZC,7.51,7.27,-3.2
JKI,124.44,120.46,-3.2
KGRN,18.1545,17.5734,-3.2
RNMC,18.6671,18.07,-3.2
GDI.TO,29.99,29.03,-3.2
WN.TO,102.0,98.74,-3.2
VEH.TO,25.97,25.14,-3.2
ABSIX,14.68,14.21,-3.2
GES,9.66,9.35,-3.21
EFX,143.5,138.9,-3.21
AWK,125.72,121.69,-3.21
AZO,1054.15,1020.32,-3.21
ASGN,47.99,46.45,-3.21
DON,28.03,27.13,-3.21
RTM,98.0,94.85,-3.21
SLRX,0.8576,0.8301,-3.21
RBN-UN.TO,6.23,6.03,-3.21
ABSZX,14.66,14.19,-3.21
GETGX,32.4,31.36,-3.21
VEVCX,32.09,31.06,-3.21
ACES,34.8,33.6813,-3.21
MSUS,23.1479,22.404,-3.21
PBR,7.14,6.91,-3.22
CDE,4.35,4.21,-3.22
CRTO,10.26,9.93,-3.22
PLT,14.59,14.12,-3.22
SPMD,29.82,28.86,-3.22
CNCR,23.3512,22.6,-3.22
SMLF,34.52,33.41,-3.22
LSCNX,21.42,20.73,-3.22
LSSCX,21.41,20.72,-3.22
ABYSX,15.21,14.72,-3.22
ABSRX,14.29,13.83,-3.22
VEVRX,32.91,31.85,-3.22
CBLSX,11.49,11.12,-3.22
F,5.26,5.09,-3.23
CLI,16.73,16.19,-3.23
AXS,37.82,36.6,-3.23
MYOK,64.92,62.82,-3.23
RVT,11.77,11.39,-3.23
HHC,55.97,54.16,-3.23
WTTR,4.96,4.8,-3.23
CHAU,19.5,18.87,-3.23
GLBS,0.7426,0.7186,-3.23
ALACW,0.031,0.03,-3.23
ALEO2.PA,3.41,3.3,-3.23
AMM.TO,0.62,0.6,-3.23
STN.TO,42.4,41.03,-3.23
MVALX,29.74,28.78,-3.23
WHGSX,13.64,13.2,-3.23
SONG,1.24,1.2,-3.23
MFMS,25.36,24.54,-3.23
TT,90.34,87.42,-3.23
EXC,38.32,37.08,-3.24
RY,63.65,61.59,-3.24
SYK,192.68,186.43,-3.24
ERIE,184.03,178.06,-3.24
TMF,44.69,43.24,-3.24
MLVF,13.59,13.15,-3.24
PS,16.99,16.44,-3.24
PLAG,3.4,3.29,-3.24
OCI.AS,11.42,11.05,-3.24
AD.TO,10.48,10.14,-3.24
LSCRX,20.99,20.31,-3.24
MFCAX,28.99,28.05,-3.24
MGA,40.34,39.03,-3.25
AQUA,16.59,16.05,-3.25
LCI,9.86,9.54,-3.25
BWB,10.47,10.13,-3.25
PMOM,28.2523,27.3332,-3.25
QVM,22.1672,21.4473,-3.25
MFCIX,29.5,28.54,-3.25
TPVIX,13.86,13.41,-3.25
FLZA,16.82,16.2736,-3.25
ZJPN,70.515,68.2265,-3.25
MNPR,7.39,7.15,-3.25
OC,44.82,43.36,-3.26
IBTX,31.33,30.31,-3.26
SCL,98.61,95.4,-3.26
FNDA,30.68,29.68,-3.26
HIFS,158.17,153.02,-3.26
MOR,26.97,26.09,-3.26
FPSVX,24.51,23.71,-3.26
BPSCX,17.47,16.9,-3.26
MSGCX,12.89,12.47,-3.26
XRT,37.92,36.68,-3.27
UNM,18.04,17.45,-3.27
LSTR,106.8,103.31,-3.27
ACIU,7.35,7.11,-3.27
ARD,12.86,12.44,-3.27
DNJR,1.53,1.48,-3.27
FLN,13.595,13.15,-3.27
SQLV,21.7255,21.0157,-3.27
ESTA,18.07,17.48,-3.27
AD.AS,22.91,22.16,-3.27
LIGHT.AS,19.245,18.615,-3.27
XFN.TO,32.46,31.4,-3.27
FPVSX,24.43,23.63,-3.27
LADR,8.22,7.95,-3.28
FMC,95.02,91.9,-3.28
SBS,7.92,7.66,-3.28
RCII,20.58,19.905,-3.28
SGRY,12.2,11.8,-3.28
EVTC,26.2,25.34,-3.28
WSR,7.01,6.78,-3.28
VUSE,26.85,25.97,-3.28
PNRG,64.6,62.48,-3.28
SCIJ,24.33,23.5313,-3.28
SMMD,39.91,38.6,-3.28
CP.TO,327.1,316.36,-3.28
LSVAX,19.84,19.19,-3.28
BPSIX,18.32,17.72,-3.28
MFCCX,28.38,27.45,-3.28
MSGRX,13.74,13.29,-3.28
SBH,10.04,9.71,-3.29
PRU,64.49,62.37,-3.29
WAL,37.1,35.88,-3.29
BHVN,48.7,47.1,-3.29
JPXN,57.53,55.64,-3.29
